Tensiune_Sursa(V), Tensiune_Masurata(V), Curent(mA), Rezistenta(Ohm), Putere(mW)
0.000, 0.000, 0.100, 0.00, 0.000
0.100, 0.100, 0.116, 860.51, 0.012
0.200, 0.200, 0.135, 1481.44, 0.027
0.300, 0.300, 0.157, 1912.68, 0.047
0.400, 0.400, 0.182, 2195.05, 0.073
0.500, 0.500, 0.212, 2361.63, 0.106
0.600, 0.600, 0.246, 2439.22, 0.148
0.700, 0.700, 0.286, 2449.36, 0.200
0.800, 0.800, 0.332, 2409.35, 0.266
0.900, 0.900, 0.386, 2332.96, 0.347
1.000, 1.000, 0.448, 2231.10, 0.448
1.100, 1.100, 0.521, 2112.35, 0.573
1.200, 1.200, 0.605, 1983.39, 0.726
1.300, 1.300, 0.703, 1849.36, 0.914
1.400, 1.400, 0.817, 1714.19, 1.143
1.500, 1.500, 0.949, 1580.79, 1.423
1.600, 1.600, 1.102, 1451.29, 1.763
1.700, 1.700, 1.281, 1327.19, 2.177
1.800, 1.800, 1.488, 1209.50, 2.678
1.900, 1.900, 1.729, 1098.84, 3.284
2.000, 2.000, 2.009, 995.54, 4.016
2.100, 2.100, 2.334, 899.69, 4.899
2.200, 2.199, 2.711, 811.23, 5.963
2.300, 2.299, 3.150, 729.95, 7.243
2.400, 2.399, 3.660, 655.57, 8.781
2.500, 2.499, 4.252, 587.74, 10.627
2.600, 2.599, 4.940, 526.09, 12.840
2.700, 2.699, 5.740, 470.20, 15.491
2.800, 2.799, 6.669, 419.68, 18.663
2.900, 2.898, 7.748, 374.10, 22.457
3.000, 2.998, 9.002, 333.07, 26.989
3.100, 3.098, 10.458, 296.21, 32.399
3.200, 3.198, 12.151, 263.15, 38.854
3.300, 3.297, 14.117, 233.55, 46.548
3.400, 3.397, 16.402, 207.09, 55.714
3.500, 3.496, 19.057, 183.46, 66.626
3.600, 3.596, 22.141, 162.40, 79.608
3.700, 3.695, 25.724, 143.64, 95.046
3.800, 3.794, 29.887, 126.95, 113.391
3.900, 3.893, 34.723, 112.12, 135.180
4.000, 3.992, 40.343, 98.95, 161.046
4.100, 4.091, 46.872, 87.27, 191.735
4.200, 4.189, 54.457, 76.92, 228.127
4.300, 4.287, 63.270, 67.76, 271.261
4.400, 4.385, 73.510, 59.66, 322.361
4.500, 4.483, 85.406, 52.49, 382.868
4.600, 4.580, 99.227, 46.16, 454.477
4.700, 4.680, 100.000, 46.80, 468.000
4.800, 4.780, 100.000, 47.80, 478.000
4.900, 4.880, 100.000, 48.80, 488.000
5.000, 4.980, 100.000, 49.80, 498.000
