Tensiune(V), Curent(mA), Rezistenta(Ohm), Putere(mW)
1,0.000, -0.004, Infinit, -0.000
2,0.050, -0.004, Infinit, -0.000
3,0.100, -0.004, Infinit, -0.000
4,0.150, -0.004, Infinit, -0.001
5,0.200, -0.004, Infinit, -0.001
6,0.250, -0.003, Infinit, -0.001
7,0.300, -0.003, Infinit, -0.001
8,0.350, -0.003, Infinit, -0.001
9,0.400, -0.000, Infinit, -0.000
10,0.450, 0.039, 11451.14, 0.018
1,0.500, 0.086, 5840.62, 0.043
1,0.550, 0.213, 2579.70, 0.117
1,0.600, 0.379, 1582.85, 0.227
1,0.650, 1.820, 357.14, 1.183
1,0.700, 2.773, 252.44, 1.941
1,0.750, 4.056, 184.90, 3.042
1,0.800, 5.491, 145.68, 4.393
1,0.850, 7.290, 116.60, 6.196
1,0.900, 12.455, 72.26, 11.209
1,0.950, 14.819, 64.11, 14.078
1,1.000, 15.971, 62.61, 15.971
1,1.050, 18.395, 57.08, 19.315
1,1.100, 20.918, 52.59, 23.010
1,1.150, 143.113, 8.04, 164.580
1,1.200, 161.420, 7.43, 193.704
1,1.250, 165.626, 7.55, 207.032
1,1.300, 186.606, 6.97, 242.588
