Tensiune_Sursa(V), Tensiune_Masurata(V), Curent(mA), Rezistenta(Ohm), Putere(mW)
0.000, 0.000, 0.000, 0.00, 0.000
1.500, 1.500, 0.012, 125000.00, 0.018
2.000, 2.000, 0.035, 57142.86, 0.070
2.400, 2.400, 0.080, 30000.00, 0.192
2.500, 2.500, 0.150, 16666.67, 0.375
2.600, 2.600, 0.320, 8125.00, 0.832
2.700, 2.700, 0.750, 3600.00, 2.025
2.800, 2.800, 1.800, 1555.56, 5.040
2.900, 2.900, 4.200, 690.48, 12.180
3.000, 3.000, 8.500, 352.94, 25.500
3.100, 3.100, 15.000, 206.67, 46.500
3.200, 3.200, 23.500, 136.17, 75.200
3.300, 3.300, 34.000, 97.06, 112.200
