Tensiune_Sursa(V), Tensiune_Masurata(V), Curent(mA), Rezistenta(Ohm), Putere(mW)
0.000, 0.000, 0.000, 0.00, 0.000
1.000, 1.000, 0.015, 66666.67, 0.015
1.400, 1.400, 0.050, 28000.00, 0.070
1.600, 1.600, 0.120, 13333.33, 0.192
1.700, 1.700, 0.250, 6800.00, 0.425
1.800, 1.800, 0.550, 3272.73, 0.990
1.900, 1.900, 1.400, 1357.14, 2.660
2.000, 2.000, 3.500, 571.43, 7.000
2.100, 2.100, 7.800, 269.23, 16.380
2.200, 2.200, 13.500, 162.96, 29.700
2.300, 2.300, 21.000, 109.52, 48.300
2.400, 2.400, 31.500, 76.19, 75.600
