Tensiune_Sursa(V), Tensiune_Masurata(V), Curent(mA), Rezistenta(Ohm), Putere(mW)
0.000, 0.000, 0.000, 0.00, 0.000
0.500, 0.500, 0.012, 41666.67, 0.006
1.000, 1.000, 0.045, 22222.22, 0.045
1.200, 1.200, 0.080, 15000.00, 0.096
1.400, 1.400, 0.150, 9333.33, 0.210
1.500, 1.500, 0.280, 5357.14, 0.420
1.600, 1.600, 0.650, 2461.54, 1.040
1.700, 1.700, 1.850, 918.92, 3.145
1.800, 1.800, 4.200, 428.57, 7.560
1.900, 1.900, 8.500, 223.53, 16.150
2.000, 2.000, 14.200, 140.85, 28.400
2.100, 2.100, 22.500, 93.33, 47.250
2.200, 2.200, 33.000, 66.67, 72.600
