Tensiune_Sursa(V), Tensiune_Masurata(V), Curent(mA), Rezistenta(Ohm), Putere(mW)
0.000, 0.000, 0.000, 0.00, 0.000
1.000, 1.000, 0.010, 100000.00, 0.010
1.500, 1.500, 0.040, 37500.00, 0.060
1.800, 1.800, 0.110, 16363.64, 0.198
1.900, 1.900, 0.220, 8636.36, 0.418
2.000, 2.000, 0.480, 4166.67, 0.960
2.100, 2.100, 1.200, 1750.00, 2.520
2.200, 2.200, 2.900, 758.62, 6.380
2.300, 2.300, 6.500, 353.85, 14.950
2.400, 2.400, 12.000, 200.00, 28.800
2.500, 2.500, 19.500, 128.21, 48.750
2.600, 2.600, 29.000, 89.66, 75.400
